gene_id	transcript_id	chrom	tx_start	tx_end	strand
ENSG00000257346	ENST00000553174.1	chr12	49090207	49093201	+
ENSG00000257345	ENST00000552353.2	chr12	92999217	93019820	+
ENSG00000261602	ENST00000562696.1	chr16	69709873	69710583	+
ENSG00000125648	ENST00000301454.8	chr19	6440063	6459735	-
ENSG00000151923	ENST00000436547.6	chr10	119575436	119596510	-
ENSG00000228949	ENST00000447084.1	chr2	233585438	233586291	+
ENSG00000228948	ENST00000602729.1	chr9	105850024	105851425	+
ENSG00000228945	ENST00000426660.1	chrY	18280177	18284761	+
ENSG00000228944	ENST00000439839.1	chr7	24196661	24255719	-
ENSG00000228943	ENST00000443484.1	chr1	28109738	28110298	+
ENSG00000256690	ENST00000535817.1	chr11	62832233	62834043	+
ENSG00000228940	ENST00000413739.1	chr1	40938103	40939763	-
ENSG00000264661	ENST00000580767.3	chr22	30731556	30731641	+
ENSG00000165309	ENST00000409983.7	chr10	22928036	23037589	+
ENSG00000165304	ENST00000298048.6	chr9	36572861	36677682	+
ENSG00000165300	ENST00000325089.7	chr13	87672614	87696272	+
ENSG00000266469	ENST00000582842.1	chr17	39401792	39406233	+
ENSG00000101608	ENST00000579226.5	chr18	3247480	3256227	+
ENSG00000101605	ENST00000356443.8	chr18	3066806	3220108	-
ENSG00000121335	ENST00000389362.5	chr12	11391539	11395565	-
ENSG00000129473	ENST00000250405.9	chr14	23306761	23311759	+
ENSG00000198791	ENST00000361272.8	chr8	17224963	17246878	-
ENSG00000198792	ENST00000361906.7	chr22	38219290	38273034	-
ENSG00000198793	ENST00000361445.8	chr1	11106534	11262507	-
ENSG00000198794	ENST00000425597.7	chr15	74995531	75021496	+
ENSG00000198795	ENST00000361524.7	chr18	25061925	25352152	-
ENSG00000197779	ENST00000376950.4	chrX	47836969	48002561	+
ENSG00000198797	ENST00000361539.4	chr1	177171496	177282422	+
ENSG00000231426	ENST00000647189.1	chr6	139677638	139860476	+
ENSG00000198799	ENST00000361127.5	chr1	113073208	113132260	+
ENSG00000231424	ENST00000455124.2	chr1	171247579	171251794	-
ENSG00000175550	ENST00000312515.6	chr11	65919256	65921561	+
ENSG00000231422	ENST00000436140.2	chr10	25113057	25161236	+
ENSG00000175556	ENST00000371628.7	chrX	118974749	119017929	+
ENSG00000231420	ENST00000429317.1	chr2	150234891	150257007	-
ENSG00000231421	ENST00000436477.6	chr17	30573471	30577000	-
ENSG00000161682	ENST00000293443.11	chr17	44353214	44363875	-
ENSG00000179420	ENST00000490285.1	chr7	143062329	143063585	-
ENSG00000179428	ENST00000325042.2	chr7	22725394	22727620	-
ENSG00000269752	ENST00000600512.1	chr19	17613721	17614430	+
ENSG00000183864	ENST00000327492.3	chr22	41433491	41447023	-
ENSG00000183862	ENST00000329903.4	chrX	151738450	151745304	+
ENSG00000167680	ENST00000586582.5	chr19	4542592	4559808	-
ENSG00000124217	ENST00000244051.2	chr20	50958825	50963931	+
ENSG00000124214	ENST00000371856.6	chr20	49113338	49188367	-
ENSG00000124215	ENST00000348616.8	chr20	59958426	60013113	+
ENSG00000124212	ENST00000244043.4	chr20	49503873	49568146	-
ENSG00000247596	ENST00000305533.9	chr3	52228609	52239260	-
ENSG00000247595	ENST00000634992.1	chr11	18599786	18603822	+
ENSG00000231618	ENST00000496937.5	chr6_GL000254v2_alt	3495859	3510302	+
ENSG00000161970	ENST00000293842.10	chr17	8377515	8383250	-
ENSG00000175073	ENST00000310421.4	chr8	66628486	66667217	-
ENSG00000161973	ENST00000293845.7	chr17	8729933	8744836	-
ENSG00000255279	ENST00000532199.1	chr11	41855919	41861830	+
ENSG00000127884	ENST00000368547.3	chr10	133362479	133373689	-
ENSG00000255275	ENST00000494072.3	chr1	18849272	18921121	-
ENSG00000255274	ENST00000636151.1	chr11	118003633	118088299	-
ENSG00000255277	ENST00000526069.1	chr16	14820791	14824669	-
ENSG00000255276	ENST00000529323.1	chr11	4137115	4138257	-
ENSG00000255271	ENST00000527984.1	chr11	34533013	34557924	-
ENSG00000255270	ENST00000528204.1	chr11	19380483	19385014	+
ENSG00000255273	ENST00000526806.1	chr8	7082970	7083328	+
ENSG00000255272	ENST00000528779.1	chr11	33776187	33779495	+
ENSG00000160087	ENST00000349431.10	chr1	1254469	1273885	-
ENSG00000036054	ENST00000344949.9	chr3	100261000	100325251	+
ENSG00000228349	ENST00000431743.1	chr21	39491543	39491898	-
ENSG00000223019	ENST00000411087.1	chr10	25813810	25813917	-
ENSG00000002587	ENST00000002596.5	chr4	11393149	11429765	-
ENSG00000002586	ENST00000381192.9	chrY	2691132	2741309	+
ENSG00000237868	ENST00000413478.1	chr4	122077839	122078318	-
ENSG00000177954	ENST00000368567.5	chr1	153990754	153992155	+
ENSG00000177951	ENST00000382762.7	chr11	202925	207428	-
ENSG00000237860	ENST00000424402.1	chrX	116688869	116690185	+
ENSG00000237861	ENST00000417716.1	chr1	197222221	197223255	+
ENSG00000237862	ENST00000445088.1	chr22	37352189	37354839	-
ENSG00000237863	ENST00000436013.1	chrX	108736539	108738903	+
ENSG00000198246	ENST00000642647.1	chr10	71319257	71363390	+
ENSG00000271129	ENST00000604510.1	chr16	69025859	69026643	-
ENSG00000135917	ENST00000644224.1	chr2	227683762	227718031	-
ENSG00000135916	ENST00000326427.10	chr2	230864899	230879247	+
ENSG00000135914	ENST00000258400.3	chr2	231108229	231125118	-
ENSG00000135913	ENST00000258399.7	chr2	218450250	218568361	-
ENSG00000135912	ENST00000392102.5	chr2	218710874	218755416	+
ENSG00000092148	ENST00000553700.5	chr14	31100117	31207804	-
ENSG00000267675	ENST00000585470.1	chr18	58416764	58417628	+
ENSG00000034693	ENST00000367591.4	chr6	143450979	143490010	+
ENSG00000135919	ENST00000258405.8	chr2	223975111	224039319	-
ENSG00000230487	ENST00000437621.6	chr7	1570072	1589626	+
ENSG00000176396	ENST00000390658.3	chr19	39538704	39540333	-
ENSG00000230484	ENST00000307165.4	chr11	5468485	5469422	-
ENSG00000230483	ENST00000433035.1	chr11	2404514	2407908	+
ENSG00000230482	ENST00000429083.1	chr2	197263110	197263535	+
ENSG00000206053	ENST00000248098.7	chr16	1678255	1702086	+
ENSG00000176393	ENST00000295640.8	chr1	201982623	202006147	+
ENSG00000176399	ENST00000325870.2	chr9	22446840	22455740	+
ENSG00000230489	ENST00000438318.1	chr1	107964442	107994607	+
ENSG00000259531	ENST00000560489.2	chr15	49365123	49366685	-
ENSG00000243900	ENST00000484133.3	chr13	51469752	51470047	+
ENSG00000243902	ENST00000430883.5	chr22	37339582	37385283	-
ENSG00000243903	ENST00000497258.1	chr3	59380023	59388704	-
ENSG00000243904	ENST00000485258.1	chr14	103374032	103374916	-
ENSG00000243905	ENST00000497096.3	chr1	26593242	26593546	-
ENSG00000248029	ENST00000445660.2	chr5	55063178	55066230	+
ENSG00000248027	ENST00000501397.1	chr11	100684161	100687955	-
ENSG00000063515	ENST00000086933.2	chr22	19148575	19150283	-
ENSG00000252599	ENST00000516790.1	chr2	44154788	44154895	-
ENSG00000252598	ENST00000516789.1	chr18	72751951	72752051	+
ENSG00000206052	ENST00000382713.9	chr18	69401054	69849087	+
ENSG00000252591	ENST00000516782.1	chr19	17972024	17972117	+
ENSG00000247624	ENST00000500394.6	chr4	14909960	15002045	-
ENSG00000247627	ENST00000498999.2	chr5	134926659	134928036	-
ENSG00000247626	ENST00000282276.7	chr2	197705368	197708387	+
ENSG00000252595	ENST00000516786.1	chr4	42892395	42892618	+
ENSG00000252594	ENST00000516785.1	chr8	46831049	46831156	+
ENSG00000252597	ENST00000516788.1	chr20	18095570	18095632	-
ENSG00000147874	ENST00000380502.7	chr9	19053142	19103119	-
ENSG00000207649	ENST00000384916.3	chr16	56858517	56858601	+
ENSG00000188886	ENST00000342380.2	chr2	96123849	96138436	-
ENSG00000188883	ENST00000340940.4	chr7	139452689	139483712	-
ENSG00000154945	ENST00000285243.6	chr17	50693189	50707924	-
ENSG00000241506	ENST00000478110.1	chr3	68635704	68637024	+
ENSG00000233774	ENST00000430517.1	chrY	12618982	12634402	-
ENSG00000241505	ENST00000417409.1	chr1	190480378	190494297	+
ENSG00000094796	ENST00000251645.2	chr17	41393723	41397592	-
ENSG00000149792	ENST00000279242.6	chr11	65122327	65127371	+
ENSG00000239249	ENST00000466709.3	chr22	28056152	28056453	-
ENSG00000237289	ENST00000300283.10	chr15	43593053	43599406	+
ENSG00000237284	ENST00000451019.3	chr6_GL000256v2_alt	795776	796913	-
ENSG00000237285	ENST00000432375.1	chr6	32325218	32326178	+
ENSG00000237286	ENST00000423194.1	chr7	2944034	2947091	+
ENSG00000237280	ENST00000454709.1	chr10	87113953	87115523	+
ENSG00000237281	ENST00000411433.1	chr2	218326888	218357966	-
ENSG00000237282	ENST00000423033.1	chr20	18379048	18381484	+
ENSG00000237283	ENST00000432976.1	chr1	188705622	188710880	-
ENSG00000272254	ENST00000607665.1	chr8	73042909	73043346	-
ENSG00000272255	ENST00000606683.1	chr5	139644459	139645002	-
ENSG00000272256	ENST00000606596.1	chr8	30082757	30083467	+
ENSG00000125458	ENST00000245552.6	chr17	75130227	75131795	-
ENSG00000206947	ENST00000384220.1	chr7	39329002	39329134	-
ENSG00000272253	ENST00000607639.1	chr14	67657104	67657211	-
ENSG00000206949	ENST00000384222.1	chr8	66501204	66501311	-
ENSG00000206948	ENST00000384221.1	chrX	154768527	154768659	+
ENSG00000272259	ENST00000607802.1	chr20	63009382	63085071	+
ENSG00000101327	ENST00000539905.5	chr20	1978756	1994285	-
ENSG00000271781	ENST00000607068.1	chr5	675825	676616	+
ENSG00000271780	ENST00000607414.1	chr14	101948346	101949425	+
ENSG00000271787	ENST00000607181.1	chr2	10054420	10054866	-
ENSG00000200478	ENST00000363608.1	chr15	25245477	25245559	+
ENSG00000271784	ENST00000606362.1	chr20	46689658	46690289	+
ENSG00000200475	ENST00000363605.1	chr12	13683541	13683886	+
ENSG00000049192	ENST00000381055.7	chr5	65148735	65481920	-
ENSG00000271789	ENST00000607386.1	chr6	111297125	111298510	+
ENSG00000271788	ENST00000607715.1	chr5	43006732	43007543	-
ENSG00000200471	ENST00000363601.1	chr7	54621024	54621131	+
ENSG00000200473	ENST00000363603.1	chrX	70253041	70253162	+
ENSG00000200472	ENST00000363602.1	chr18	31718892	31719208	+
ENSG00000101323	ENST00000378789.3	chr20	7882980	7940474	-
ENSG00000237136	ENST00000438731.6	chr4	145680114	145732794	+
ENSG00000237137	ENST00000421119.1	chr9	14531915	14532042	-
ENSG00000237135	ENST00000448545.1	chr10	30919011	30921235	-
ENSG00000177047	ENST00000380229.3	chr9	21140213	21142145	-
ENSG00000237133	ENST00000437680.1	chr2	33555046	33563547	-
ENSG00000237130	ENST00000381143.4	chr1	50846467	50846837	+
ENSG00000237131	ENST00000451806.1	chr1	168215404	168215652	+
ENSG00000272787	ENST00000609736.1	chr22	23969210	23969873	+
ENSG00000272784	ENST00000610012.1	chr4	183094422	183095056	-
ENSG00000154252	ENST00000192314.6	chr2	241776824	241804208	+
ENSG00000272783	ENST00000608161.1	chr4	1550283	1550572	+
ENSG00000237138	ENST00000437109.1	chr21	32020965	32021782	-
ENSG00000237139	ENST00000450370.1	chr10	73537802	73538391	+
ENSG00000273032	ENST00000424407.1	chr22	18998273	19014786	+
ENSG00000141232	ENST00000268957.3	chr17	50862979	50867978	-
ENSG00000172673	ENST00000368250.5	chr6	127708071	127918540	-
ENSG00000172671	ENST00000344646.9	chr10	45615594	45672348	-
ENSG00000223760	ENST00000427638.1	chr2	130129620	130139417	+
ENSG00000223761	ENST00000446794.1	chr10	87591606	87606024	-
ENSG00000223766	ENST00000427729.6	chr6_GL000253v2_alt	1867114	1873952	+
ENSG00000223767	ENST00000449794.2	chr6_GL000250v2_alt	3510955	3513395	+
ENSG00000223764	ENST00000417705.1	chr1	916869	919692	-
ENSG00000223765	ENST00000431997.2	chr6	71450833	71458874	+
ENSG00000236423	ENST00000442673.1	chr1	3900403	3917225	+
ENSG00000236422	ENST00000434495.1	chr6_GL000253v2_alt	1669512	1670146	-
ENSG00000223768	ENST00000400362.3	chr21	45288049	45297806	+
ENSG00000177707	ENST00000485303.5	chr3	111071742	111135954	+
ENSG00000236427	ENST00000429352.1	chr1	152205857	152207057	+
ENSG00000236426	ENST00000457948.3	chr10	119334493	119336182	-
ENSG00000236425	ENST00000420238.1	chr3	195561214	195561580	-
ENSG00000236424	ENST00000428845.6	chrY	9527879	9530676	+
ENSG00000136750	ENST00000376261.7	chr10	26216306	26304558	+
ENSG00000270789	ENST00000604574.1	chr15	32461665	32461809	-
ENSG00000136754	ENST00000376140.3	chr10	26748569	26860863	-
ENSG00000270780	ENST00000604433.1	chr1	114001432	114002235	-
ENSG00000270781	ENST00000603088.1	chr17	48899130	48899748	+
ENSG00000270782	ENST00000605023.1	chr3	120924611	120925158	-
ENSG00000238130	ENST00000383304.2	chr6_GL000251v2_alt	3049569	3051611	+
ENSG00000232508	ENST00000449328.1	chr2	88364694	88365608	-
ENSG00000232500	ENST00000444862.1	chr11	64500852	64505386	+
ENSG00000232502	ENST00000412994.1	chr2	94760773	94761116	-
ENSG00000232503	ENST00000455007.1	chr2	130776645	130776957	+
ENSG00000232504	ENST00000455121.3	chr2	85889279	85890980	+
ENSG00000249087	ENST00000454117.1	chr1	23369217	23371839	+
ENSG00000249086	ENST00000509204.1	chr11	1864176	1866667	+
ENSG00000249085	ENST00000507957.1	chr5	72794404	72816565	-
ENSG00000116016	ENST00000263734.4	chr2	46297401	46386703	+
ENSG00000249082	ENST00000507035.2	chr5	135038830	135040047	-
ENSG00000249081	ENST00000506803.1	chr4	41722537	41723512	-
ENSG00000234034	ENST00000441759.1	chr21	22500603	22520058	-
ENSG00000249089	ENST00000503376.1	chr5	39022410	39022558	+
ENSG00000264235	ENST00000578800.5	chr18	3255435	3261822	-
ENSG00000234033	ENST00000427086.1	chr13	61805149	61805676	+
ENSG00000187242	ENST00000647992.1	chr17	40860942	40867224	-
ENSG00000197674	ENST00000641159.1	chr11	4690422	4697831	-
ENSG00000201708	ENST00000364838.1	chr12	38163402	38163515	-
ENSG00000201709	ENST00000364839.1	chr15	65229860	65229967	+
ENSG00000187243	ENST00000335504.9	chrX	52061826	52069248	-
ENSG00000201704	ENST00000364834.1	chr15	59574102	59574222	-
ENSG00000201707	ENST00000364837.1	chr4	88201702	88201810	+
